entidad,min_magnitud,prom_magnitud,max_magnitud
 AGS,1.5,2.7739130434782609,3.4
 BCS,1.4,3.6596443757247777,6.8
 COL,2.2,3.3949450188741178,5.6
 DGO,2.9,3.8229508196721311,4.6
 GRO,1.5,3.5250270367700072,7.5
 GTO,3.4,3.7390804597701149,4.5
 HGO,1.5,2.9211538461538462,4.1
 JAL,2.1,3.5188127510040161,6.5
 MEX,1.2,2.6663398692810458,4.1
 MOR,1.2,3.4065000000000000,4
 NAY,2.5,3.7307692307692308,4.5
 OAX,1.2,3.5905530839786895,7.4
 PUE,1.8,3.3550000000000000,7.1
 QRO,3.1,3.3625000000000000,3.7
 SIN,2.6,3.8840092699884125,6.6
 SLP,3.3,3.8194968553459119,4.4
 SON,2.4,3.6983809523809524,5.5
 TAB,2.7,3.8926086956521739,4.8
 VER,1.9,3.7444330161995372,6.4
 YUC,2.9,2.9000000000000000,2.9
 ZAC,0.6,1.6708222811671088,4.2
", BC",1.8,3.4634961439588689,6.4
", NL",2.2,3.5257847533632287,4.5
", QR",4.2,4.6166666666666667,5.4
"A, N",3.5,3.6333333333333333,3.7
CAMP,3.6,4.2000000000000000,4.7
CDMX,0.3,2.1100000000000000,3.8
CHIH,2.9,3.8663956639566396,5.4
CHIS,1,3.7731715306730197,8.2
COAH,2.4,3.7874125874125874,4.5
MICH,2,3.6309848309848310,7.7
TAMS,3,3.6852173913043478,4.6
TLAX,3.1,3.5833333333333333,4
